"","results"
"11","Here are the extracted details:

**Kampong:** Not mentioned (assuming it's a general Brunei property listing)

**Price:** No price detail mentioned

**Type:**

* Apartment: Not mentioned
* Bungalow: Not mentioned
* Detached: Not mentioned
* Semi-detached: Not mentioned

**Storey:**
Not specified, but implied to be a single or double storey based on the floor size (1466 sqft)

**Status:** 

* New: Not mentioned
* Proposed: Not mentioned
* Under-construction: Not mentioned

**Land Size:** 0.085 acres

**Floor Size:** 1466 sqft

**Beds:** 3 bedrooms

**Baths:** 2 bathrooms

**Land Type:** Leasehold (extended to 80 years left)

**Additional Remark:** 

* Location benefits:
	+ 1 minute drive to Jln Tutong
	+ 2 minutes drive to Masjid Bunut
	+ 3 minutes drive to restaurants such as Pizza Hut, C.A. Mohamed"
"12","Here are the extracted details:

**Kampong:**
- Kampong Penanjong is mentioned.

**Price:**
- No price details are provided in the text snippet.

**Type:**
- Detached-link home

**Storey:**
- Not explicitly stated, but it's a single-storey property based on the context (contemporary detached-link home).

**Status:**
- For sale

**Land_size:**
- Plot 2: 0.123 acres
- Plot 3: 0.126 acres

**Floor_size:**
- 1580 sqft

**Beds:**
- 4 bedrooms

**Baths:**
- 2 bathrooms

**Land_type:**
- Land is Kekal (not Leasehold or In perpetuity)

**Additional Remark:**
- The property offers complimentary upgrades valued up to $5000.
- It's located near various amenities, including mosques and a beach.
- Opposite Tutong Camp."
"13","However, I don't see any text to extract the details from. It seems like a list of keys with placeholders, but there's no actual content.

If you provide the actual text or data, I'd be happy to help you extract the desired details. 

Please paste the text, and I'll get started!"
"14","Here are the extracted details:

1. **Kampong:**
	* Mentiri (located near Pantai Mentiri Golf Club, Kg Mentiri Mosque, Pehin Datu Seri Maharaja Secondary School)
2. **Price:** Not explicitly mentioned
3. **Type:**
	* Apartment: No mention
	* Bungalow: No mention
	* Detached: Yes
	* Semi-detached: No mention
4. **Storey:**
	* Double-storey
5. **Status:**
	* Proposed (since it's a proposed residential development)
6. **Land Size:** 
	* 0.126 acres
7. **Floor Size:**
	* 2510 sqft
8. **Beds:**
	* 5 bedrooms
9. **Baths:**
	* 4 bathrooms
10. **Land Type:**
	* Kekal (in-perpetuity)
11. **Additional Remark:**
	* Close distance to:
		+ Pantai Mentiri Golf Club
		+ Kg Mentiri Mosque
		+ Pehin Datu Seri Maharaja Secondary School
		+ Many other local restaurants"
"15","Here are the extracted details:

**1. Kampong:**
* Katok Gadong (village in Brunei)

**2. Price:**
* $228,000 (only)

**3. Type:**
* Double storey terrace house
* No apartments, bungalows, detached or semi-detached houses mentioned

**4. Storey:**
* Double storey

**5. Status:**
* For sale (existing property, not new, proposed, or under-construction)

**6. Land size:**
* 0.041 acres

**7. Floor size:**
* 1794 sqft

**8. Beds:**
* 4 bedrooms

**9. Baths:**
* 3 bathrooms

**10. Land type:**
* Kekal (In perpetuity)

**11. Additional Remark:**
* Prime location
* Suitable for small families
* 1 balcony
* 3 car garage"
"16","Here are the extracted details:

**kampong:** 
Unfortunately, there is no kampong mentioned in this text.

**price:**
No price details were provided.

**type:**

* Apartment
* Bungalow (not explicitly mentioned but likely implied as it's a plot)
* Detached
* Semi-detached

**storey:**
Not specified whether it's single storey or double storey.

**status:** 
The status is not explicitly stated, but based on the context, it seems like an existing property.

**land_size:**

* 0.1345 acres (for one plot)
* 0.100 acres (for another plot)

**floor_size:**

* 2609 sqft (for one plot)
* 2249 sqft (for another plot)

**beds:** 
4 bedrooms

**baths:** 
3 bathrooms

**land_type:**
Kekal, in-perpetuity"
"17","Here are the extracted details:

**Kampong:**
No specific kampong is mentioned.

**Price:**
- $278,000 (price for both plots)

**Type:**
- Apartment/ Bungalow/ Detached/ Semi-detached (not specified which one)

**Storey:**
Not specified if it's single or double storey.

**Status:**
Proposed residential development

**Land_size:**
- Plot A: 0.0654 acres
- Plot B: 0.0705 acres

**Floor_size:**
2411 sqft (for both plots)

**Beds:**
- 5 bedrooms

**Baths:**
- 3 bathrooms

**Land_type:**
Kekal land (freehold)"
"18","Here are the extracted details:

**Kampong:**
No kampong is mentioned.

**Price:** 
$358,000 (now for sale)

**Type:**

* Not explicitly mentioned in the text
However, based on other information, it can be inferred that:
- 5 bedroom implies a house rather than an apartment
- The phrase ""remaining unit"" in a development also points to a landed property, likely a bungalow or semi-detached house

**Storey:**
Not specified (but likely single storey given the context)

**Status:** 
Proposed residential development

**Land_size:**
0.15 acres 

**Floor_size:**

* 2724 sqft"
"19","Here are the extracted details:

1. **kampong**: Not mentioned in this snippet.
2. **price**: Not mentioned in this snippet.
3. **type**:
	* Apartment: No
	* Bungalow: No
	* Detached: No
	* Semi-detached: No
4. **storey**: Single storey (implied by ""1830 sq ft of space"")
5. **status**: Not mentioned in this snippet.
6. **land_size**: Not mentioned.
7. **floor_size**: 1830 sq ft
8. **beds**: 3 bedrooms
9. **baths**: 3 bathrooms
10. **land_type**:
	* Leasehold: No mention
	* In perpetuity: No mention
	* Kekal: Not mentioned
11. **Additional Remark**: The property features a utility room.
12. **Caption**: ""it features a utility room along with three bedroom and three bathroom in 1830 sq ft of space"""
"20","Here are the extracted details:

1. **kampong**: Not mentioned explicitly, but based on the location ""jalan Lumapas"", it might be related to Kampong Tanjong Abang or Kampong Kiarong in Brunei.
2. **price**: Not mentioned
3. **type**:
	* Apartment (implied by ""this unit"")
	* No other types mentioned (e.g., bungalow, detached, semi-detached)
4. **storey**: Single storey is implied, but not explicitly stated as single or double.
5. **status**: Not mentioned
6. **land_size**: Not mentioned
7. **floor_size**: Not mentioned
8. **beds**: 3 bedrooms
9. **baths**: 2 bathrooms
10. **land_type**: Not mentioned
11. **Additional Remark**:
	* Located in Jalan Lumapas
	* Features an open kitchen concept"
"21","Here are the extracted details:

1. **Kampong**: Penanjong (village in Brunei)
2. **Price**: No price details mentioned
3. **Type**:
	* Apartment: Not mentioned
	* Bungalow: Not mentioned
	* Detached: Not mentioned
	* Semi-detached: Not mentioned
4. **Storey**: No storey details mentioned (single or double)
5. **Status**: No status details mentioned (new, proposed, under-construction)
6. **Land_size**: No land size details mentioned
7. **Floor_size**: No floor size details mentioned
8. **Beds**: Number of bedrooms not specified
9. **Baths**: Number of bathrooms not specified
10. **Land_type**: No land type details mentioned (Leasehold, In perpetuity, Kekal)
11. **Additional Remark**:
	* Location: Penanjong area or within the Tutong district
	* Proximity to: Hua Ho local restaurants and Penanjong beach
12. **Caption**: 'these houses are perfect for many individuals working around the penanjong area or within the tutong district with close proximity to hua ho local restaurants as well as penanjong beach'"
"22","Here are the extracted details:

1. **Kampong**: Gadong Tungku
2. **Price**: $2xxk (no exact figure mentioned)
3. **Type**:
	* Apartment: None mentioned
	* Bungalow: None mentioned
	* Detached: Yes
	* Semi-detached: None mentioned
4. **Storey**: Double storey
5. **Status**: Existing (not new, proposed, or under-construction)
6. **Land_size**: Not explicitly mentioned
7. **Floor_size**: 2100 sq ft
8. **Beds**: 4 bedrooms
9. **Baths**: 3 bathrooms
10. **Land_type**: Kekal (in perpetuity)
11. **Additional Remark**:
	* Last unit available
	* Don't miss this opportunity"
"23","Here are the extracted details:

**Kampong:** Gadong Tungku (a village in Brunei)

**Price:** $2xxK (price not fully disclosed, but starts with 2xx thousand)

**Type:**

* Apartment: Not mentioned
* Bungalow: Not mentioned
* Detached: Yes
* Semi-detached: Not mentioned

**Storey:** Double storey

**Status:** Not explicitly stated, but based on the context it appears to be ""Last unit available""

**Land Size:** Not mentioned

**Floor Size:** 2100 sq ft

**Beds:** 4 bedrooms

**Baths:** 3 bathrooms

**Land Type:** Kekal (in perpetuity)

**Additional Remark:**

* Last unit available
* Beautiful double storey detached house
* Don't miss this opportunity"
"24","Here are the extracted details:

**Kampong:**
None mentioned, but the location is referred to as ""sg hanching"" which might be a village or area in Brunei.

**Price:**
- SGD 4xxk ( price is partially hidden)

**Type:**

* Detached
* Double storey

**Storey:**
Double storey

**Status:**
Proposed

**Land Size:**
0.197 acre (approximately 7969 square feet, assuming 1 acre = 43560 sq ft)

**Floor Size:**
3500 sq ft

**Beds:**
6 bedrooms

**Baths:**
6 bathrooms

**Land Type:**

* Kekal (in perpetuity)
* In perpetuity
* Leasehold is not mentioned but Kekal is the land type.

**Additional Remark:**

* Wet kitchen and dry kitchen
* Maid room
* Huge separated living and dining area
* 2 living areas
* Huge master bedroom with walk-in closet area subdivided individual land title"
"25","Here are the extracted details:

**1. kampong:** 
- The kampong mentioned is **SG Hanching**, however it's not clear if SG Hanching is indeed a village in Brunei.

**2. price:** 
- The price is: $4xxk (Note: The exact price seems to be partially hidden, with only the first three digits visible)

**3. type:** 
- The words mentioned are:
  - Apartment (none)
  - Bungalow (none)
  - Detached (yes)
  - Semi-detached (none)

**4. storey:** 
- It is a **double storey** property.

**5. status:** 
- The status of the property is: **Proposed**

**6. land_size:** 
- The land size is approximately **0.197 acre** (Note: Acre seems to be used instead of square meters or feet, but we can assume it's equivalent to a certain area)

**7. floor_size:** 
- The floor size is: **3500 sq ft**

**8. beds:** 
- Number of bedrooms: **6**

**9. baths:** 
- Number of bathrooms: **6**

**10. land_type:** 
- The land type is: **Kekal (In perpetuity)**

**11. Additional Remark:** 
- There are additional features mentioned:
  - Wet kitchen and dry kitchen
  - Maid room
  - Huge separated living and dining area
  - 2 living areas
  - Huge master bedroom with walk-in closet area subdivided individual land title"
"26","Here are the extracted details:

1. **Kampong**: Not mentioned.
2. **Price**: The price is $2XXK ( exact figure not specified).
3. **Type**:
	* Apartment: None
	* Bungalow: None
	* Detached: None
	* Semi-detached: Yes
4. **Storey**: Double storey
5. **Status**: Brand new, completed
6. **Land_size**: 0.075 acre (approximately 3031 square meters)
7. **Floor_size**: 2300 sq ft
8. **Beds**: 5 bedrooms
9. **Baths**: 4 bathrooms
10. **Land_type**: Kekal (in-perpetuity)
11. **Additional Remark**:
	* Includes 7 units of air conditioning, garage, fencing, kitchen cabinet, toilets with shower, glass lightings, water tank, water pump, and electrical auto gate.
	* Has a limited time offer, T&C applies."
"27","Here are the extracted details:

1. **Kampong**: Kilanas
2. **Price**: 2xxk ( exact amount not specified)
3. **Type**:
	* Apartment: Not mentioned
	* Bungalow: Not mentioned
	* Detached: Not mentioned
	* Semi-detached: Yes, a double storey semi-detached house
4. **Storey**: Double storey
5. **Status**: Brand new and completed (not proposed or under-construction)
6. **Land_size**: 0.075 acre
7. **Floor_size**: 2300 sq ft
8. **Beds**: 5 bedrooms
9. **Baths**: 4 bathrooms
10. **Land_type**: Kekal in-perpetuity
11. **Additional Remark**:
	* Includes 7 units air conditioning, garage, fencing, kitchen cabinet, toilets with shower, glass lightings, water tank, water pump, electrical auto gate, and T.C ( exact meaning not specified)
	* Limited time only opportunity"
"28","Here are the extracted details:

1. **Kampong**: None mentioned
2. **Price**: Not mentioned
3. **Type**:
	* Apartment: Not mentioned
	* Bungalow: Not mentioned
	* Detached: Not mentioned
	* Semi-detached: Not mentioned
4. **Storey**: Single storey (implied by ""3500 sq ft"" floor size)
5. **Status**: Proposed or can be built on client's land (not explicitly stated as new, proposed, or under-construction)
6. **Land_size**: Not mentioned
7. **Floor_size**: 3500 sq ft
8. **Beds**: 5 bedrooms
9. **Baths**: 5 bathrooms
10. **Land_type**:
	* Leasehold: Not mentioned
	* In perpetuity: Not mentioned
	* Kekal: Not mentioned (Kampong is a village, but it's not clear if it's related to the land type)
11. **Additional Remark**: 
	+ 2 living rooms
	+ Wet and dry kitchen"
"29","Here are the extracted details:

1. **Kampong**:
	* No specific kampong (village in Brunei) is mentioned.
2. **Price**:
	* No price details are provided.
3. **Type**:
	* Apartment: Not mentioned
	* Bungalow: Not mentioned
	* Detached: Not mentioned
	* Semi-detached: Not mentioned
	* The house is actually described as a ""modern contemporary"" design, but the type (detached, semi-detached, etc.) is not specified.
4. **Storey**:
	* No information about single or double storey is provided.
5. **Status**:
	* It's a proposed/under-construction design that can be built on client's land.
6. **Land Size**:
	* Not mentioned
7. **Floor Size**:
	* 6000 sq ft (mentioned as the floor size)
8. **Beds**:
	* 5 bedrooms
9. **Baths**:
	* 6 bathrooms
10. **Land Type**:
	* The house can be built on client's own land, with no information about whether it's Leasehold or In perpetuity or Kekal.
11. **Additional Remark**:
	* The remaining details include a modern contemporary design with features such as:
		+ Garage for 4 vehicles
		+ Wet and dry kitchen
		+ 2 living rooms
	* Contact numbers: 7332666, 8622690
	* Email address: bandar_estates@hotmail.com"
"30","Here are the extracted details:

1. **Kampong**: Lambak Berakas
2. **Price**: 4xxk (exact amount not specified)
3. **Type**:
	* Apartment: Not mentioned
	* Bungalow: Not mentioned
	* Detached: Yes, a detached house
	* Semi-detached: Not mentioned
4. **Storey**: Double storey
5. **Status**: Last unit available (no specific status mentioned)
6. **Land Size**: 0.162 acre
7. **Floor Size**: 3600 sq ft
8. **Beds**: 5 bedrooms
9. **Baths**: 5 bathrooms
10. **Land Type**: Kekal in-perpetuity
11. **Additional Remark**:
	* Last unit available
	* Modern detached house with swimming pool
	* Don't miss this opportunity"
"31","Here are the extracted details:

1. **Kampong**: Gadong Tungku
2. **Price**: 2xxk (price range, exact figure not specified)
3. **Type**:
	* Apartment: Not mentioned
	* Bungalow: Not mentioned
	* Detached: Yes, it is a detached house
	* Semi-detached: Not mentioned
4. **Storey**: Double storey
5. **Status**: Existing (not new, proposed, or under-construction)
6. **Land_size**: Not specified (only floor size is given)
7. **Floor_size**: 2100 sq ft
8. **Beds**: 4 bedrooms
9. **Baths**: 3 bathrooms
10. **Land_type**: Kekal in-perpetuity
11. **Additional Remark**:
	* Last unit available
	* Beautiful house
	* Located at Gadong Tungku"
"32","Here are the extracted details:

**Kampong:** 
Not mentioned in this caption.

**Price:**
$168,000

**Type:**

* Apartment (not mentioned)
* Bungalow (not mentioned)
* Detached (mentioned as ""terrace house"")
* Semi-detached (not mentioned)

**Storey:**
Double storey

**Status:**
TCP (Temporary Occupation Permit) approved, status new.

**Land_size:** 
Not mentioned in this caption.

**Floor_size:** 
1600 sqft (last unit available)

**Beds:** 
3 bedrooms

**Baths:** 
3 bathrooms

**Land_type:**

* Leasehold (not explicitly mentioned)
* In perpetuity (mentioned as ""TCP approved"")
* Kekal (not explicitly mentioned)"
"33","Here are the extracted details:

* **Kampong**: Mulaut
* **Price**: B$288,000.00
* **Type**:
	+ Apartment: Not mentioned
	+ Bungalow: Not mentioned
	+ Detached: Yes
	+ Semi-detached: Not mentioned
* **Storey**: Double storey
* **Status**: Complete (last unit)
* **Land_size**: Not specified
* **Floor_size**: Not specified
* **Beds**: Not specified (but implied to be a house with multiple bedrooms, given it's a detached double-storey house)
* **Baths**: Not specified
* **Land_type**: Leasehold
* **Additional Remark**: Last unit available"
"34","Here are the extracted details:

1. **Kampong**: Tg Bunut
2. **Price**: $188,000.00
3. **Type**:
	* Apartment: Not mentioned
	* Bungalow: Not mentioned (but semi-detached is)
	* Detached: Not mentioned
	* Semi-Detached: Yes
4. **Storey**: Double storey
5. **Status**: Ready to build
6. **Land Size**: 0.063 acres (approximately 2551 sq ft)
7. **Floor Size**: 1500 sq ft
8. **Beds**: 3 rooms (assuming bedrooms)
9. **Baths**: 3 toilets (assuming bathrooms)
10. **Land Type**: Kekal
11. **Additional Remark**:
	* Ready to build
	* No construction or development is required"
"35","Here are the extracted details:

**Kampong (Village in Brunei)**
None mentioned explicitly, but ""Tutong"" is implied to be a kampong.

**Price**
- Price range: B$220,000.00 - B$255,000.00

**Type**
- Detached house
- Double storey

**Storey**
- Double storey

**Status**
- Proposed

**Land Size**
- 0.08ac to 0.1ac ( approx. 3,232 sqm to 4,047 sqm)

**Floor Size**
- 2,300sqft (approx. 213.71 sqm)

**Beds**
- 4 rooms (implied to be bedrooms)

**Baths**
- 3 toilets (implied to be bathrooms)

**Land Type**
- Kekal

**Additional Remark**
- 7 units available"
"36","Here are the extracted details:

1. **Kampong**: Pangkalan Gadong
2. **Price**: B$240,000.00
3. **Type**: Terrace House (detached)
4. **Storey**: Double storey
5. **Status**: Under construction
6. **Land_size**: 0.042 acres
7. **Floor_size**:
	* Total floor size: Not specified (mentioned as a separate figure, not clear if it's for the house or land)
	* House floor size: 2453 sq ft
8. **Beds**: 4 rooms (assuming bedrooms)
9. **Baths**: 4 toilets (assuming bathrooms)
10. **Land_type**: Kekal (in perpetuity)
11. **Additional Remark**:
	* Middle unit
	* Double storey"
"37","Here are the extracted details:

1. **Kampong**: Kilanas
2. **Price**: $255,000 - $265,000
3. **Type**:
	* Apartment: No mention
	* Bungalow: No mention
	* Detached: Yes
	* Semi-detached: No mention
4. **Storey**: Double storey
5. **Status**: Proposed
6. **Land Size**: 0.09 acres - 0.133 acres (no clear indication of a single size, so range is provided)
7. **Floor Size**: 2300 sqft
8. **Beds**: 4 rooms
9. **Baths**: 3 toilets
10. **Land Type**: Kekal
11. **Additional Remark**:
	* Remaining details not explicitly mentioned (e.g., no mention of additional features, facilities, or location)"
"38","Here are the extracted details:

1. **Kampong**: Katok (village in Brunei)
2. **Price**: B$378,000.00
3. **Type**: Detached house (double storey)
4. **Storey**: Double storey
5. **Status**: Under construction
6. **Land_size**: Not specified
7. **Floor_size**: Not specified
8. **Beds**: 4 rooms (assuming bedrooms)
9. **Baths**: 4 toilets (assuming bathrooms)
10. **Land_type**: Kekal (not leasehold or in perpetuity)
11. **Additional Remark**: The house is double storey, detached, and has 4 rooms and 4 toilets.

Note that some details, such as land size and floor size, are not specified in the caption."
"39","Here are the extracted details:

* **Kampong**: Kiarong
* **Price**: $750,000.00
* **Type**:
	+ Detached house (detached)
	+ Three storey (not apartment, bungalow, or semi-detached)
* **Storey**: Three storey
* **Status**: Under construction
* **Land size**:
	+ 0.180ac (first plot of land)
	+ 0.215ac (second plot of land)
* **Floor size**: 5500 sq ft
* **Beds**: 6 rooms
* **Baths**: 7 toilets
* **Land type**: Kekal (leasehold or in perpetuity not specified, but kekal is a term used in Brunei to refer to land held in perpetuity)
* **Additional Remark**:
	+ The house is still under construction."
"40","Here are the extracted details:

**kampong (village in Brunei)**

* Sera(s) - mentioned as the location of a proposed project.

**price**

* $278,000.00

**type**

* Detached house
* Double storey

**storey**

* Double storey

**status**

* Proposed

**land_size**

* 0.1345 acres (approximately 2609 sqft)

**floor_size**

* Not mentioned separately, but implied to be 2609 sqft in total.

**beds**

* 4 rooms (implied to be bedrooms)

**baths**

* 3 toilets (implied to be bathrooms)

**land_type**

* Leasehold

**Additional Remark**

* The details seem to pertain to a proposed project, with specific characteristics such as land size, floor area, and amenities."
"41","Here are the extracted details:

**Kampong:** 
- Identified kampong: Kilanas-Mulaut (note: Ban 5 is part of it)

**Price:** 
- Price: $343,000.00
- Negotiable

**Type:** 
- Apartment: No
- Bungalow: No
- Detached: Yes
- Semi-detached: Yes

**Storey:** 
- Single storey: No
- Double storey: Yes

**Status:** 
- New: No (last unit ready for move-in)
- Proposed: No
- Under-construction: No

**Land_size:** 
- 0.109 acres

**Floor_size:** 
- Approximately 2551 sqft

**Beds:** 
- Number of bedrooms: 4 in each unit

**Baths:** 
- Number of toilets (assuming same as bathrooms): 4 in each unit

**Land_type:** 
- Leasehold: No
- In perpetuity: Yes (Kekal)
- Kekal: Yes"
